rsrp;rsrq
-95;-13
-95;-13
-101;-13
-101;-13
-100;-13
-100;-13
-105;-16
-105;-16
-102;-14
-102;-14
-102;-15
-102;-15
-102;-15
-97;-14
-97;-14
-94;-14
-94;-14
-98;-14
-98;-14
-96;-14
-96;-14
-96;-14
-103;-15
-103;-15
-98;-15
-98;-15
-95;-14
-95;-14
-94;-14
-94;-14
-94;-14
-99;-16
-99;-16
-95;-14
-95;-14
-100;-13
-100;-13
-99;-14
-99;-14
-99;-14
-95;-14
-95;-14
-91;-12
-91;-12
-99;-16
-99;-16
-101;-15
-101;-15
-99;-18
-99;-18
-99;-18
-97;-15
-97;-15
-97;-16
-97;-16
-99;-16
-99;-16
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-98;-16
-98;-16
-94;-14
-94;-14
-96;-16
-96;-16
-94;-14
-94;-14
-93;-14
-93;-14
-93;-14
-96;-15
-96;-15
-98;-18
-98;-18
-97;-16
-97;-16
-97;-15
-97;-15
-97;-16
-97;-16
-95;-14
-95;-14
-95;-14
-96;-15
-96;-15
-99;-17
-99;-17
-87;-14
-87;-14
-96;-15
-96;-15
-96;-15
-93;-14
-93;-14
-94;-14
-94;-14
-93;-14
-93;-14
-85;-13
-85;-13
-87;-13
-87;-13
-87;-13
-94;-16
-94;-16
-96;-16
-96;-16
-95;-15
-95;-15
-96;-14
-96;-14
-96;-14
-95;-17
-95;-17
-95;-18
-95;-18
-90;-14
-90;-14
-94;-14
-94;-14
-94;-14
-92;-15
-92;-15
-88;-13
-88;-13
-83;-13
-83;-13
-87;-13
-87;-13
-87;-13
-94;-14
-94;-14
-84;-14
-84;-14
-91;-14
-91;-14
-96;-14
-96;-14
-94;-14
-94;-14
-94;-14
-96;-14
-96;-14
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-96;-15
-93;-15
-93;-15
-98;-15
-98;-15
-96;-15
-96;-15
-96;-15
-99;-15
-99;-15
-100;-16
-100;-16
-100;-16
-100;-16
-97;-15
-97;-15
-97;-15
-98;-16
-98;-16
-99;-16
-99;-16
-98;-15
-98;-15
-99;-16
-99;-16
-99;-16
-100;-16
-100;-16
-101;-17
-101;-17
-98;-15
-98;-15
-101;-17
-101;-17
-101;-17
-101;-17
-101;-17
-100;-19
-100;-19
-99;-18
-99;-18
-102;-18
-102;-18
-102;-18
-100;-17
-100;-17
-98;-16
-98;-16
-99;-18
-99;-18
-99;-19
-99;-19
-99;-19
-97;-15
-97;-15
-96;-15
-96;-15
-95;-15
-95;-15
-102;-15
-102;-15
-102;-15
-101;-15
-101;-15
-99;-15
-99;-15
-99;-14
-99;-14
-99;-14
-101;-15
-101;-15
-101;-17
-101;-17
-99;-15
-99;-15
-99;-15
-99;-14
-99;-14
-95;-14
-95;-14
-92;-14
-92;-14
-96;-15
-96;-15
-96;-15
-94;-14
-94;-14
-93;-15
-93;-15
-93;-14
-93;-14
-91;-14
-91;-14
-91;-14
-96;-16
-96;-16
-97;-17
-97;-17
-98;-17
-98;-17
-95;-15
-95;-15
-97;-17
-97;-17
-97;-17
-99;-17
-99;-17
-102;-19
-102;-19
-98;-14
-98;-14
-98;-16
-98;-16
-98;-16
-95;-16
-95;-16
-94;-13
-94;-13
-95;-14
-95;-14
-97;-15
-97;-15
-99;-19
-99;-19
-99;-19
-94;-15
-94;-15
-93;-13
-93;-13
-92;-16
-92;-16
-92;-16
-94;-18
-94;-18
-93;-14
-93;-14
-92;-15
-92;-15
-93;-15
-93;-15
-93;-15
-95;-15
-95;-15
-96;-16
-96;-16
-99;-18
-99;-18
-99;-18
-93;-15
-93;-15
-97;-16
-97;-16
-97;-19
-97;-19
-94;-15
-94;-15
-94;-15
-95;-15
-95;-15
-97;-18
-97;-18
-96;-14
-96;-14
-96;-14
-95;-16
-95;-16
-92;-15
-92;-15
-96;-17
-96;-17
-93;-16
-93;-16
-93;-16
-94;-15
-94;-15
-98;-15
-98;-15
-97;-17
-97;-17
-97;-17
-92;-15
-92;-15
-94;-14
-94;-14
-95;-16
-95;-16
-94;-16
-94;-16
-94;-16
-95;-16
-95;-16
-96;-17
-96;-17
-93;-16
-93;-16
-91;-14
-91;-14
-91;-14
-97;-19
-97;-19
-96;-17
-96;-17
-95;-17
-95;-17
-92;-15
-92;-15
-92;-15
-93;-17
-93;-17
-92;-15
-92;-15
-89;-15
-89;-15
-89;-15
-96;-20
-96;-20
-89;-16
-89;-16
-90;-17
-90;-17
-90;-17
-90;-17
-90;-17
-85;-16
-85;-16
-84;-14
-84;-14
-92;-17
-92;-17
-91;-18
-91;-18
-91;-18
-88;-18
-88;-18
-96;-19
-96;-19
-87;-17
-87;-17
-86;-15
-86;-15
-86;-15
-89;-17
-89;-17
-94;-19
-94;-19
-91;-19
-91;-19
-91;-19
-92;-14
-92;-14
-91;-15
-91;-15
-93;-16
-93;-16
-92;-16
-92;-16
-92;-16
-91;-15
-91;-15
-85;-13
-85;-13
-91;-14
-91;-14
-87;-14
-87;-14
-87;-14
-86;-13
-86;-13
-89;-15
-89;-15
-88;-15
-88;-15
-90;-16
-90;-16
-90;-16
-93;-15
-93;-15
-91;-14
-91;-14
-92;-15
-92;-15
-88;-14
-88;-14
-88;-14
-90;-15
-90;-15
-97;-17
-97;-17
-92;-17
-92;-17
-92;-17
-92;-15
-92;-15
-91;-16
-91;-16
-84;-13
-84;-13
-86;-14
-86;-14
-86;-14
-86;-14
-86;-14
-87;-14
-87;-14
-85;-14
-85;-14
-90;-15
-90;-15
-90;-15
-88;-14
-88;-14
-88;-11
-88;-11
-88;-15
-88;-15
-88;-15
-88;-15
-88;-15
-87;-14
-87;-14
-91;-17
-91;-17
-91;-17
-88;-14
-88;-14
-82;-15
-82;-15
-82;-14
-82;-14
-82;-14
-86;-14
-86;-14
-87;-11
-87;-11
-87;-14
-87;-14
-83;-14
-83;-14
-83;-14
-80;-13
-80;-13
-80;-13
-83;-12
-83;-12
-82;-14
-82;-14
-80;-14
-80;-14
-80;-14
-85;-15
-85;-15
-81;-14
-81;-14
-79;-13
-79;-13
-82;-13
-82;-13
-82;-13
-80;-14
-80;-14
-83;-13
-83;-13
-81;-13
-81;-13
-81;-13
-89;-14
-89;-14
-85;-14
-85;-14
-87;-14
-87;-14
-85;-15
-85;-15
-85;-15
-88;-16
-88;-16
-88;-15
-88;-15
-88;-16
-88;-16
-89;-13
-89;-13
-89;-13
-85;-14
-85;-14
-86;-14
-86;-14
-89;-15
-89;-15
-84;-14
-84;-14
-84;-14
-84;-14
-84;-14
-86;-15
-86;-15
-92;-16
-92;-16
-92;-14
-92;-14
-96;-14
-96;-14
-96;-17
-96;-17
-96;-17
-95;-13
-95;-13
-92;-13
-92;-13
-93;-13
-93;-13
-93;-14
-93;-14
-93;-14
-93;-12
-93;-12
-94;-13
-94;-13
-95;-13
-95;-13
-93;-12
-93;-12
-93;-12
-95;-13
-95;-13
-94;-13
-94;-13
-93;-15
-93;-15
-92;-10
-92;-10
-92;-10
-94;-15
-94;-15
-92;-13
-92;-13
-93;-14
-93;-14
-96;-14
-96;-14
-96;-14
-98;-18
-98;-18
-94;-13
-94;-13
-95;-13
-95;-13
-94;-14
-94;-14
-94;-14
-91;-13
-91;-13
-83;-14
-83;-14
-85;-13
-85;-13
-84;-13
-84;-13
-81;-14
-81;-14
-81;-14
-84;-14
-84;-14
-81;-13
-81;-13
-82;-11
-82;-11
-82;-13
-82;-13
-82;-13
-83;-14
-83;-14
-74;-12
-74;-12
-86;-14
-86;-14
-79;-13
-79;-13
-79;-13
-77;-12
-77;-12
-83;-15
-83;-15
-85;-14
-85;-14
-75;-12
-75;-12
-75;-12
-84;-12
-84;-12
-85;-14
-85;-14
-81;-14
-81;-14
-83;-14
-83;-14
-83;-14
-81;-15
-81;-15
-82;-15
-82;-15
-84;-13
-84;-13
-84;-12
-84;-12
-78;-11
-78;-11
-78;-11
-83;-13
-83;-13
-83;-14
-83;-14
-81;-14
-81;-14
-81;-14
-81;-14
-81;-14
-75;-12
-75;-12
-80;-14
-80;-14
-79;-13
-79;-13
-79;-12
-79;-12
-79;-12
-77;-16
-77;-16
-79;-13
-79;-13
-79;-13
-79;-13
-75;-13
-75;-13
-75;-13
-75;-13
-75;-13
-73;-14
-73;-14
-78;-13
-78;-13
-76;-13
-76;-13
-83;-14
-83;-14
-83;-14
-80;-13
-80;-13
-79;-13
-79;-13
-73;-13
-73;-13
-74;-12
-74;-12
-74;-12
-70;-11
-70;-11
-74;-13
-74;-13
-73;-14
-73;-14
-73;-15
-73;-15
-72;-15
-72;-15
-70;-9
-70;-9
-78;-16
-78;-16
-74;-15
-74;-15
-74;-15
-75;-14
-75;-14
-74;-14
-74;-14
-71;-8
-71;-8
-71;-8
-75;-14
-75;-14
-68;-12
-68;-12
-71;-12
-71;-12
-71;-12
-66;-15
-66;-15
-66;-12
